school_latitude(W),school_longitude(N),school_zip,t_price_excl_donation($),t_price_incl_donation($),students_reached,total_donations($),num_donors
40.461535,-74.356908,8872,741.46,872.31,25,118,2
42.362701,-87.847214,60085,381.47,448.79,75,431.14,7
40.096231,-74.970954,19154,334.49,393.52,30,0,0
34.23196,-118.456568,91402,351.06,413.01,30,400.66,5
40.752547,-86.332609,46947,2001.7,2354.94,100,214,7
40.801156,-74.164797,7109,539.09,634.22,5,395,7
40.719879,-74.314163,7041,3439.38,4046.33,143,3439.38,1
33.825409,-118.295853,90502,1129.24,1328.52,36,1328.52,1
35.37985056,-81.36975796,28021,443.34,521.58,20,514.52,9
37.571609,-77.486191,23230,866.34,1019.22,100,1019.22,12
29.663533,-95.288755,77061,1044.44,1228.75,100,1228.75,1
34.02781,-118.50085,90403,1025.82,1206.85,50,1206.85,3
43.994637,-92.450775,55904,698.88,822.21,25,822.21,19
34.71255697,-82.21953258,29681,403.68,474.92,23,474.92,6
39.997362,-75.121101,19134,467.05,549.47,35,0,0
29.20122387,-81.9128946,34488,819.2,963.76,22,963.76,8
42.378361,-71.040177,2128,1381.92,1625.79,18,1616.96,22
45.0282135,-93.31352997,55412,300.44,353.46,28,353.46,8
34.072489,-80.911302,29223,262.1,308.35,55,25,1
41.835771,-87.794663,60402,1552.25,1826.18,70,68,2
35.519943,-84.362353,37354,576.32,678.02,40,678.02,2
38.833622,-77.125702,22311,297.28,349.74,24,340.44,5
39.735523,-86.135559,46203,431.45,507.59,22,507.59,5
33.365069,-97.187222,76266,295.4,347.53,18,347.53,1
38.44738072,-81.34513513,25045,370.97,436.44,20,436.44,5
41.390312,-81.530212,44146,136.01,160.01,21,160.02,3
35.25013,-80.944046,28214,352.34,414.52,100,408.16,8
